ADDRESS_NAME,ADDRESS_NUMBER
gen. Mikołaja Bołtucia,6
gen. Mikołaja Bołtucia,10
gen. Mikołaja Bołtucia,8
gen. Mikołaja Bołtucia,2
Arki Bożka,4
Arki Bożka,1
Arki Bożka,8
Arki Bożka,6
Józefa Brandta,2
Józefa Brandta,5
Józefa Brandta,7
Józefa Brandta,9
Józefa Brandta,13
Józefa Brandta,15
Józefa Brandta,17
Józefa Brandta,11
Józefa Brandta,1
Józefa Brandta,3
Brygadzistów,4A
Brygadzistów,25B
Brygadzistów,2
Brygadzistów,25A
Brygadzistów,19
Brygadzistów,11
Brygadzistów,10
Brygadzistów,31
Brygadzistów,29
Brygadzistów,16A
Rosy Bailly,36
Rosy Bailly,5
Rosy Bailly,44
Rosy Bailly,1B
Rosy Bailly,46
Rosy Bailly,38
Rosy Bailly,28
Rosy Bailly,9
Rosy Bailly,3
Rosy Bailly,32
Rosy Bailly,48
Rosy Bailly,16
Rosy Bailly,22
Rosy Bailly,1A
Rosy Bailly,1C
Rosy Bailly,11
Batalionu „Miotła”,26
Batalionu „Miotła”,24
Batalionu „Miotła”,32
Batalionu „Miotła”,36
Batalionu „Miotła”,46
Batalionu „Miotła”,42
Batalionu „Miotła”,40
Batalionu „Miotła”,22
Batalionu „Miotła”,12
Batalionu „Miotła”,10
Batalionu „Miotła”,14
Batalionu „Miotła”,5
Batalionu „Miotła”,18
Batalionu „Miotła”,4
Batalionu „Miotła”,30
Batalionu „Miotła”,16
Batalionu „Miotła”,8
Batalionu „Miotła”,6
Batalionu „Miotła”,38
Batalionu „Miotła”,34
Batalionu „Miotła”,28
Batalionu „Miotła”,20
Batalionu „Miotła”,44
Batalionów Chłopskich,78A
Olszynki Grochowskiej,27
Olszynki Grochowskiej,57
Olszynki Grochowskiej,53
Koprzywiańska,36
Koprzywiańska,9A
Koprzywiańska,16
Koprzywiańska,15
Koprzywiańska,22B
Koprzywiańska,29A
Koprzywiańska,22A
Koprzywiańska,29
Koprzywiańska,28
Augustyna Kordeckiego,44
Augustyna Kordeckiego,29
Augustyna Kordeckiego,23
Augustyna Kordeckiego,48
Augustyna Kordeckiego,67
Augustyna Kordeckiego,52
Augustyna Kordeckiego,11
Augustyna Kordeckiego,75
Augustyna Kordeckiego,65
Augustyna Kordeckiego,53
Augustyna Kordeckiego,6
Augustyna Kordeckiego,31
Augustyna Kordeckiego,24
Augustyna Kordeckiego,63
Grójecka,104B
Grójecka,62A
Grójecka,20C
Grójecka,20B
Grójecka,42A
Grójecka,40A
Grójecka,67/69
Grójecka,65A
Grójecka,67
Grójecka,72
Grójecka,68A
Grójecka,126
Grójecka,79
Grójecka,77
Grójecka,38
Grójecka,184
Grójecka,59/63
Grójecka,119A
Batalionów Chłopskich,74
Batalionów Chłopskich,75D
Batalionów Chłopskich,79B
Batalionów Chłopskich,87A
Batalionów Chłopskich,84
Batalionów Chłopskich,85
Batalionów Chłopskich,87C
Batalionów Chłopskich,81
Batalionów Chłopskich,87
Batalionów Chłopskich,77A
Batalionów Chłopskich,78
Batalionów Chłopskich,84A
Batalionów Chłopskich,87B
gen. Waleriana Czumy,20B
gen. Waleriana Czumy,13
gen. Waleriana Czumy,11
gen. Waleriana Czumy,10
gen. Waleriana Czumy,16A
gen. Waleriana Czumy,16B
gen. Waleriana Czumy,15
gen. Waleriana Czumy,2
gen. Waleriana Czumy,1C
gen. Waleriana Czumy,1A
gen. Waleriana Czumy,9
gen. Waleriana Czumy,12
gen. Waleriana Czumy,12A
gen. Waleriana Czumy,14A
gen. Waleriana Czumy,7
gen. Waleriana Czumy,5
gen. Waleriana Czumy,1E
gen. Waleriana Czumy,14B
gen. Waleriana Czumy,1D
gen. Waleriana Czumy,1F
gen. Waleriana Czumy,12B
gen. Waleriana Czumy,4
Cieplarniana,36
Cieplarniana,42
Cieplarniana,20A
Cieplarniana,11
Cieplarniana,39
Cieplarniana,9
Cieplarniana,7
Cieplarniana,3
Cieplarniana,47
Cieplarniana,41
Cieplarniana,23A
Cieplarniana,30
Cieplarniana,34
Cieplarniana,32
Cieplarniana,31
Cieplarniana,27
Cieplarniana,25
Cieplarniana,24
Cieplarniana,23
Cieplarniana,18
Cieplarniana,16
Cieplarniana,21
Cieplarniana,17
Cieplarniana,22
Cieplarniana,8
Cieplarniana,38A
Cieplarniana,37
Cieplarniana,2
Cieplarniana,45
Cieplarniana,44
