NAZWA_ULICY;NUMER
ulica gen. Mikołaja Bołtucia;6
ulica gen. Mikołaja Bołtucia;10
ulica gen. Mikołaja Bołtucia;8
ulica gen. Mikołaja Bołtucia;2
ulica Arki Bożka;4
ulica Arki Bożka;1
ulica Arki Bożka;8
ulica Arki Bożka;6
ulica Józefa Brandta;2
ulica Józefa Brandta;5
ulica Józefa Brandta;7
ulica Józefa Brandta;9
ulica Józefa Brandta;13
ulica Józefa Brandta;15
ulica Józefa Brandta;17
ulica Józefa Brandta;11
ulica Józefa Brandta;1
ulica Józefa Brandta;3
ulica Brygadzistów;4A
ulica Brygadzistów;25B
ulica Brygadzistów;2
ulica Brygadzistów;25A
ulica Brygadzistów;19
ulica Brygadzistów;11
ulica Brygadzistów;10
ulica Brygadzistów;31
ulica Brygadzistów;29
ulica Brygadzistów;16A
ulica Rosy Bailly;36
ulica Rosy Bailly;5
ulica Rosy Bailly;44
ulica Rosy Bailly;1B
ulica Rosy Bailly;46
ulica Rosy Bailly;38
ulica Rosy Bailly;28
ulica Rosy Bailly;9
ulica Rosy Bailly;3
ulica Rosy Bailly;32
ulica Rosy Bailly;48
ulica Rosy Bailly;16
ulica Rosy Bailly;22
ulica Rosy Bailly;1A
ulica Rosy Bailly;1C
ulica Rosy Bailly;11
ulica Batalionu „Miotła”;26
ulica Batalionu „Miotła”;24
ulica Batalionu „Miotła”;32
ulica Batalionu „Miotła”;36
ulica Batalionu „Miotła”;46
ulica Batalionu „Miotła”;42
ulica Batalionu „Miotła”;40
ulica Batalionu „Miotła”;22
ulica Batalionu „Miotła”;12
ulica Batalionu „Miotła”;10
ulica Batalionu „Miotła”;14
ulica Batalionu „Miotła”;5
ulica Batalionu „Miotła”;18
ulica Batalionu „Miotła”;4
ulica Batalionu „Miotła”;30
ulica Batalionu „Miotła”;16
ulica Batalionu „Miotła”;8
ulica Batalionu „Miotła”;6
ulica Batalionu „Miotła”;38
ulica Batalionu „Miotła”;34
ulica Batalionu „Miotła”;28
ulica Batalionu „Miotła”;20
ulica Batalionu „Miotła”;44
ulica Batalionów Chłopskich;78A
ulica Olszynki Grochowskiej;27
ulica Olszynki Grochowskiej;57
ulica Olszynki Grochowskiej;53
ulica Koprzywiańska;36
ulica Koprzywiańska;9A
ulica Koprzywiańska;16
ulica Koprzywiańska;15
ulica Koprzywiańska;22B
ulica Koprzywiańska;29A
ulica Koprzywiańska;22A
ulica Koprzywiańska;29
ulica Koprzywiańska;28
ulica Augustyna Kordeckiego;44
ulica Augustyna Kordeckiego;29
ulica Augustyna Kordeckiego;23
ulica Augustyna Kordeckiego;48
ulica Augustyna Kordeckiego;67
ulica Augustyna Kordeckiego;52
ulica Augustyna Kordeckiego;11
ulica Augustyna Kordeckiego;75
ulica Augustyna Kordeckiego;65
ulica Augustyna Kordeckiego;53
ulica Augustyna Kordeckiego;6
ulica Augustyna Kordeckiego;31
ulica Augustyna Kordeckiego;24
ulica Augustyna Kordeckiego;63
ulica Grójecka;104B
ulica Grójecka;62A
ulica Grójecka;20C
ulica Grójecka;20B
ulica Grójecka;42A
ulica Grójecka;40A
ulica Grójecka;67/69
ulica Grójecka;65A
ulica Grójecka;67
ulica Grójecka;72
ulica Grójecka;68A
ulica Grójecka;126
ulica Grójecka;79
ulica Grójecka;77
ulica Grójecka;38
ulica Grójecka;184
ulica Grójecka;59/63
ulica Grójecka;119A
ulica Batalionów Chłopskich;74
ulica Batalionów Chłopskich;75D
ulica Batalionów Chłopskich;79B
ulica Batalionów Chłopskich;87A
ulica Batalionów Chłopskich;84
ulica Batalionów Chłopskich;85
ulica Batalionów Chłopskich;87C
ulica Batalionów Chłopskich;81
ulica Batalionów Chłopskich;87
ulica Batalionów Chłopskich;77A
ulica Batalionów Chłopskich;78
ulica Batalionów Chłopskich;84A
ulica Batalionów Chłopskich;87B
ulica gen. Waleriana Czumy;20B
ulica gen. Waleriana Czumy;13
ulica gen. Waleriana Czumy;11
ulica gen. Waleriana Czumy;10
ulica gen. Waleriana Czumy;16A
ulica gen. Waleriana Czumy;16B
ulica gen. Waleriana Czumy;15
ulica gen. Waleriana Czumy;2
ulica gen. Waleriana Czumy;1C
ulica gen. Waleriana Czumy;1A
ulica gen. Waleriana Czumy;9
ulica gen. Waleriana Czumy;12
ulica gen. Waleriana Czumy;12A
ulica gen. Waleriana Czumy;14A
ulica gen. Waleriana Czumy;7
ulica gen. Waleriana Czumy;5
ulica gen. Waleriana Czumy;1E
ulica gen. Waleriana Czumy;14B
ulica gen. Waleriana Czumy;1D
ulica gen. Waleriana Czumy;1F
ulica gen. Waleriana Czumy;12B
ulica gen. Waleriana Czumy;4
ulica Cieplarniana;36
ulica Cieplarniana;42
ulica Cieplarniana;20A
ulica Cieplarniana;11
ulica Cieplarniana;39
ulica Cieplarniana;9
ulica Cieplarniana;7
ulica Cieplarniana;3
ulica Cieplarniana;47
ulica Cieplarniana;41
ulica Cieplarniana;23A
ulica Cieplarniana;30
ulica Cieplarniana;34
ulica Cieplarniana;32
ulica Cieplarniana;31
ulica Cieplarniana;27
ulica Cieplarniana;25
ulica Cieplarniana;24
ulica Cieplarniana;23
ulica Cieplarniana;18
ulica Cieplarniana;16
ulica Cieplarniana;21
ulica Cieplarniana;17
ulica Cieplarniana;22
ulica Cieplarniana;8
ulica Cieplarniana;38A
ulica Cieplarniana;37
ulica Cieplarniana;2
ulica Cieplarniana;45
ulica Cieplarniana;44
ulica Cieplarniana;43
ulica Cieplarniana;38
ulica Cieplarniana;15A
ulica Cieplarniana;10
ulica Cieplarniana;6
ulica Cieplarniana;33
